date,city,weather,t_max,t_min,t_avg,rain_mm,windSpeed,windDirection,humidity,pressure
2021-11-11,Hyderabad,hurricane,28,15,19,189,8.4,e,40,1017
2021-11-10,Hyderabad,rainy,12,3,8,162,6.9,n,27,1100
2021-11-09,Hyderabad,foggy,24,4,11,0,6.0,o,55,1071
2021-11-08,Hyderabad,sunny,15,2,5,0,7.7,s,34,964
2021-11-07,Hyderabad,sunny,27,8,16,0,2.0,se,34,1013
2021-11-06,Hyderabad,partially cloudy,23,11,15,0,4.5,e,65,982
2021-11-05,Hyderabad,stormy,11,0,4,38,6.1,ne,18,1170
2021-11-04,Hyderabad,sunny,13,4,9,0,13.0,se,14,1097
2021-11-03,Hyderabad,sunny,29,18,22,0,7.6,n,23,969
2021-11-02,Hyderabad,tornado,29,21,26,0,7.2,se,63,1108
2021-11-01,Hyderabad,sunny,14,1,6,0,2.6,so,16,958
2021-10-31,Hyderabad,cloudy,17,8,12,0,14.9,ne,53,1041
2021-10-30,Hyderabad,sunny,26,8,19,0,8.9,s,35,1191
2021-10-29,Hyderabad,sunny,22,2,5,0,5.1,se,40,1183
2021-10-28,Hyderabad,rainy,16,2,5,186,5.5,ne,59,1130
2021-10-27,Hyderabad,partially cloudy,20,2,14,0,9.1,se,29,1009
2021-10-26,Hyderabad,sunny,16,7,12,0,2.6,s,69,958
2021-10-25,Hyderabad,sunny,20,12,16,0,10.9,ne,13,994
2021-10-24,Hyderabad,partially cloudy,11,1,4,0,4.5,o,68,1011
2021-10-23,Hyderabad,partially cloudy,27,8,12,0,3.1,e,43,1008
2021-10-22,Hyderabad,stormy,22,1,19,62,11.5,e,54,1131
2021-10-21,Hyderabad,sunny,23,10,18,0,8.3,se,61,1137
2021-10-20,Hyderabad,rainy,22,0,14,190,9.0,so,34,992
2021-10-19,Hyderabad,sunny,22,14,17,0,4.7,no,23,1091
2021-10-18,Hyderabad,rainy,27,9,16,144,4.4,no,59,1098
2021-10-17,Hyderabad,rainy,24,8,20,13,7.6,no,53,978
2021-10-16,Hyderabad,foggy,23,2,16,0,6.4,n,47,1010
2021-10-15,Hyderabad,sunny,19,1,12,0,6.9,n,30,1149
2021-10-14,Hyderabad,sunny,28,11,20,0,12.2,s,32,1135
2021-10-13,Hyderabad,cloudy,15,5,9,0,13.5,ne,58,1122
2021-10-12,Hyderabad,rainy,15,4,12,88,2.6,ne,49,1152
2021-10-11,Hyderabad,rainy,23,5,9,58,5.3,so,56,1115
2021-10-10,Hyderabad,hurricane,28,12,23,121,10.6,ne,45,1071
2021-10-09,Hyderabad,hurricane,27,19,22,145,5.4,s,70,1017
2021-10-08,Hyderabad,sunny,13,4,8,0,5.4,se,25,1048
2021-10-07,Hyderabad,sunny,26,13,16,0,7.6,so,19,1179
2021-10-06,Hyderabad,sunny,25,4,21,0,13.2,se,17,1175
2021-10-05,Hyderabad,partially cloudy,21,10,13,0,12.2,ne,55,955
2021-10-04,Hyderabad,partially cloudy,11,2,6,0,13.3,so,11,1017
2021-10-03,Hyderabad,rainy,29,5,19,96,9.2,no,51,955
2021-10-02,Hyderabad,partially cloudy,17,1,11,0,4.6,e,23,993
2021-10-01,Hyderabad,partially cloudy,11,2,6,0,9.6,se,51,986
2021-09-30,Hyderabad,partially cloudy,30,9,26,0,10.7,se,50,1008
2021-09-29,Hyderabad,rainy,17,5,8,17,13.4,no,33,1087
2021-09-28,Hyderabad,stormy,19,3,8,126,14.9,ne,62,1034
2021-09-27,Hyderabad,partially cloudy,15,7,11,0,1.1,o,68,960
2021-09-26,Hyderabad,cloudy,22,12,19,0,11.0,o,42,1198
2021-09-25,Hyderabad,rainy,14,3,11,121,14.9,so,37,1077
2021-09-24,Hyderabad,cloudy,28,15,21,0,6.6,e,57,1132
2021-09-23,Hyderabad,rainy,12,2,9,46,12.5,so,61,1144
2021-09-22,Hyderabad,sunny,13,5,8,0,12.5,ne,21,1124
2021-09-21,Hyderabad,cloudy,22,2,17,0,6.8,s,25,1182
2021-09-20,Hyderabad,cloudy,25,9,22,0,6.7,s,50,1143
2021-09-19,Hyderabad,cloudy,24,1,20,0,6.6,no,42,1047
2021-09-18,Hyderabad,cloudy,27,3,22,0,13.1,se,13,1090
2021-09-17,Hyderabad,rainy,19,3,16,28,11.6,e,16,1024
2021-09-16,Hyderabad,cloudy,30,1,7,0,3.8,no,69,1063
2021-09-15,Hyderabad,rainy,10,1,6,56,5.4,e,28,1010
2021-09-14,Hyderabad,rainy,12,0,5,138,10.2,e,64,1067
2021-09-13,Hyderabad,partially cloudy,30,6,17,0,12.3,ne,17,997
2021-09-12,Hyderabad,partially cloudy,29,4,18,0,9.3,o,69,972
2021-09-11,Hyderabad,sunny,16,7,12,0,10.2,o,68,1091
2021-09-10,Hyderabad,sunny,29,12,20,0,10.8,ne,64,1126
2021-09-09,Hyderabad,sunny,23,7,12,0,4.5,ne,19,958
2021-09-08,Hyderabad,sunny,22,6,17,0,13.2,no,39,983
2021-09-07,Hyderabad,stormy,22,11,14,191,3.0,o,61,1013
2021-09-06,Hyderabad,sunny,16,8,13,0,3.8,no,48,1015
2021-09-05,Hyderabad,sunny,22,10,19,0,10.5,so,31,1120
2021-09-04,Hyderabad,rainy,10,1,4,26,2.3,n,37,1194
2021-09-03,Hyderabad,sunny,30,11,18,0,4.0,ne,63,1013
2021-09-02,Hyderabad,rainy,19,5,13,178,10.0,o,56,1193
2021-09-01,Hyderabad,rainy,15,7,11,22,12.3,so,17,1106
2021-08-31,Hyderabad,sunny,29,11,15,0,7.4,n,43,1114
2021-08-30,Hyderabad,tornado,20,11,14,0,11.4,s,33,1159
2021-08-29,Hyderabad,partially cloudy,29,9,16,0,14.4,n,40,976
2021-08-28,Hyderabad,partially cloudy,27,16,21,0,7.9,s,34,1060
2021-08-27,Hyderabad,sunny,29,18,23,0,12.5,so,70,1189
2021-08-26,Hyderabad,sunny,24,8,16,0,15.0,o,60,1052
2021-08-25,Hyderabad,sunny,30,2,5,0,11.2,so,55,1162
2021-08-24,Hyderabad,sunny,21,4,18,0,4.2,e,54,962
2021-08-23,Hyderabad,partially cloudy,29,18,26,0,12.7,s,59,1105
2021-08-22,Hyderabad,rainy,29,9,25,129,4.9,so,36,1027
2021-08-21,Hyderabad,sunny,12,2,8,0,12.8,no,68,1178
2021-08-20,Hyderabad,sunny,22,8,14,0,5.6,ne,16,963
2021-08-19,Hyderabad,partially cloudy,15,2,10,0,4.9,ne,41,987
2021-08-18,Hyderabad,cloudy,30,17,26,0,6.3,e,48,1129
2021-08-17,Hyderabad,sunny,13,1,8,0,6.9,n,41,1041
2021-08-16,Hyderabad,tornado,16,1,9,0,7.8,o,25,1198
2021-08-15,Hyderabad,sunny,16,3,7,0,4.0,n,42,1082
2021-08-14,Hyderabad,sunny,15,7,10,0,0.9,e,18,1011
2021-08-13,Hyderabad,foggy,14,2,6,0,2.1,so,57,1133
2021-08-12,Hyderabad,sunny,24,2,19,0,10.1,o,26,1036
2021-08-11,Hyderabad,sunny,25,7,20,0,2.7,e,40,1011
2021-08-10,Hyderabad,sunny,21,12,18,0,11.0,ne,17,1010
2021-08-09,Hyderabad,tornado,27,12,21,0,7.0,n,44,1140
2021-08-08,Hyderabad,partially cloudy,18,6,10,0,10.0,e,55,1116
2021-08-07,Hyderabad,partially cloudy,14,6,10,0,7.3,no,58,1039
2021-08-06,Hyderabad,sunny,25,6,11,0,13.1,o,13,1185
2021-08-05,Hyderabad,sunny,25,17,21,0,6.7,s,52,1090
2021-08-04,Hyderabad,rainy,13,5,9,142,12.0,n,42,970
2021-08-03,Hyderabad,sunny,20,2,15,0,13.0,e,66,1195
2021-08-02,Hyderabad,partially cloudy,10,0,6,0,14.6,n,65,956
2021-08-01,Hyderabad,sunny,13,2,9,0,8.5,no,35,1083
2021-07-31,Hyderabad,rainy,27,14,24,135,4.9,ne,59,1110
2021-07-30,Hyderabad,partially cloudy,26,17,22,0,1.3,s,35,1142
2021-07-29,Hyderabad,partially cloudy,16,6,9,0,3.3,o,48,1127
2021-07-28,Hyderabad,partially cloudy,25,6,21,0,12.7,s,58,1047
2021-07-27,Hyderabad,rainy,21,2,8,35,3.1,n,10,975
2021-07-26,Hyderabad,tornado,19,10,15,0,12.6,s,15,973
2021-07-25,Hyderabad,partially cloudy,17,2,12,0,6.0,no,12,1058
2021-07-24,Hyderabad,sunny,11,0,8,0,14.6,se,15,1047
2021-07-23,Hyderabad,partially cloudy,30,8,15,0,14.9,n,58,1152
2021-07-22,Hyderabad,partially cloudy,10,0,4,0,13.2,ne,26,1044
2021-07-21,Hyderabad,sunny,10,2,7,0,7.7,so,41,1099
2021-07-20,Hyderabad,sunny,23,10,18,0,9.9,n,61,959
2021-07-19,Hyderabad,sunny,11,3,8,0,1.6,e,14,1085
2021-07-18,Hyderabad,rainy,17,2,13,90,2.2,o,29,1021
2021-07-17,Hyderabad,rainy,30,3,10,52,4.8,n,45,1155
2021-07-16,Hyderabad,rainy,28,14,24,73,7.2,so,63,1171
2021-07-15,Hyderabad,rainy,16,6,12,55,2.1,se,33,1155
2021-07-14,Hyderabad,partially cloudy,21,5,9,0,8.1,n,15,1013
2021-07-13,Hyderabad,rainy,26,2,18,192,2.4,e,65,963
2021-07-12,Hyderabad,rainy,11,0,6,177,8.2,o,48,960
2021-07-11,Hyderabad,partially cloudy,17,2,8,0,10.9,ne,15,1047
2021-07-10,Hyderabad,rainy,28,7,21,11,11.5,o,31,1193
2021-07-09,Hyderabad,sunny,27,16,19,0,3.1,no,15,1044
2021-07-08,Hyderabad,rainy,21,2,9,60,13.8,n,38,950
2021-07-07,Hyderabad,partially cloudy,24,11,20,0,2.1,no,53,1043
2021-07-06,Hyderabad,sunny,27,9,22,0,3.3,s,30,1117
2021-07-05,Hyderabad,rainy,16,1,4,192,11.4,so,61,1040
2021-07-04,Hyderabad,stormy,14,2,11,18,1.5,n,10,1127
2021-07-03,Hyderabad,partially cloudy,16,2,13,0,10.3,ne,53,955
2021-07-02,Hyderabad,rainy,17,5,13,154,5.0,so,65,1073
2021-07-01,Hyderabad,cloudy,12,3,8,0,10.0,so,19,1082
2021-06-30,Hyderabad,sunny,29,19,25,0,2.7,ne,50,1048
2021-06-29,Hyderabad,rainy,29,10,13,25,6.8,ne,42,1188
2021-06-28,Hyderabad,partially cloudy,13,5,8,0,8.4,s,41,1115
2021-06-27,Hyderabad,sunny,25,16,20,0,1.6,no,48,1055
2021-06-26,Hyderabad,partially cloudy,24,2,12,0,13.8,s,19,1065
2021-06-25,Hyderabad,foggy,11,2,5,0,0.7,n,28,1022
2021-06-24,Hyderabad,cloudy,20,12,17,0,6.6,n,60,1171
2021-06-23,Hyderabad,sunny,12,3,6,0,9.3,e,37,967
2021-06-22,Hyderabad,rainy,22,11,14,78,0.8,so,43,1155
2021-06-21,Hyderabad,cloudy,11,0,5,0,8.9,ne,42,1031
2021-06-20,Hyderabad,sunny,20,7,16,0,1.3,e,16,1013
2021-06-19,Hyderabad,rainy,17,1,8,24,3.1,o,69,1161
2021-06-18,Hyderabad,sunny,17,0,11,0,4.9,ne,53,1105
2021-06-17,Hyderabad,hurricane,28,1,21,175,10.8,e,14,1091
2021-06-16,Hyderabad,partially cloudy,18,7,15,0,3.2,s,11,1056
2021-06-15,Hyderabad,sunny,30,3,17,0,5.6,no,51,1033
2021-06-14,Hyderabad,rainy,19,5,14,12,3.8,no,37,1036
2021-06-13,Hyderabad,sunny,19,11,16,0,8.1,n,46,1116
2021-06-12,Hyderabad,partially cloudy,25,8,20,0,0.6,n,39,1121
2021-06-11,Hyderabad,cloudy,27,18,24,0,10.1,s,32,1186
2021-06-10,Hyderabad,stormy,12,2,6,105,5.2,o,62,973
2021-06-09,Hyderabad,sunny,11,0,7,0,11.0,s,19,970
2021-06-08,Hyderabad,cloudy,29,20,26,0,0.9,no,28,991
2021-06-07,Hyderabad,sunny,17,1,9,0,1.4,e,54,1135
2021-06-06,Hyderabad,sunny,14,1,5,0,13.9,no,27,1182
2021-06-05,Hyderabad,partially cloudy,26,18,23,0,12.1,e,11,977
2021-06-04,Hyderabad,foggy,20,1,17,0,3.0,so,41,1126
2021-06-03,Hyderabad,sunny,20,1,10,0,0.9,s,43,1191
2021-06-02,Hyderabad,cloudy,11,1,8,0,8.9,no,15,1133
2021-06-01,Hyderabad,rainy,13,5,9,38,7.2,ne,19,1054
2021-05-31,Hyderabad,rainy,26,12,15,181,11.2,no,12,1134
2021-05-30,Hyderabad,sunny,18,0,7,0,13.3,e,14,1194
2021-05-29,Hyderabad,sunny,23,15,19,0,8.2,e,30,989
2021-05-28,Hyderabad,rainy,27,18,21,78,1.5,ne,40,1126
2021-05-27,Hyderabad,sunny,20,2,16,0,2.4,so,64,1177
2021-05-26,Hyderabad,cloudy,27,14,20,0,2.3,so,10,1118
2021-05-25,Hyderabad,sunny,17,5,8,0,14.0,e,66,1066
2021-05-24,Hyderabad,sunny,12,4,7,0,11.7,o,37,1188
2021-05-23,Hyderabad,partially cloudy,13,1,10,0,12.3,e,51,1086
2021-05-22,Hyderabad,rainy,18,1,11,85,13.4,so,35,1195
2021-05-21,Hyderabad,sunny,30,8,24,0,9.9,e,67,1011
2021-05-20,Hyderabad,cloudy,20,12,17,0,12.7,so,11,1101
2021-05-19,Hyderabad,partially cloudy,14,3,10,0,7.6,s,64,1133
2021-05-18,Hyderabad,sunny,30,13,18,0,12.8,ne,69,1194
2021-05-17,Hyderabad,sunny,20,8,17,0,1.2,ne,25,1037
2021-05-16,Hyderabad,rainy,29,0,18,167,14.8,e,66,1075
2021-05-15,Hyderabad,rainy,18,4,10,170,14.7,n,14,1022
2021-05-14,Hyderabad,foggy,22,6,10,0,10.7,se,18,1092
2021-05-13,Hyderabad,hurricane,28,3,15,142,1.4,e,45,1195
2021-05-12,Hyderabad,partially cloudy,28,2,24,0,1.6,se,30,1121
2021-05-11,Hyderabad,partially cloudy,26,3,22,0,12.2,so,28,1001
2021-05-10,Hyderabad,rainy,29,0,4,144,8.0,no,41,1043
2021-05-09,Hyderabad,sunny,12,4,7,0,7.1,e,34,1075
2021-05-08,Hyderabad,partially cloudy,13,5,10,0,3.0,n,13,1084
2021-05-07,Hyderabad,sunny,19,3,9,0,8.6,e,29,1053
2021-05-06,Hyderabad,partially cloudy,21,5,9,0,7.9,n,27,1118
2021-05-05,Hyderabad,sunny,18,5,14,0,13.5,so,57,1019
2021-05-04,Hyderabad,cloudy,28,0,22,0,3.0,o,26,1078
2021-05-03,Hyderabad,rainy,24,5,19,20,10.9,o,65,1012
2021-05-02,Hyderabad,cloudy,12,0,3,0,11.7,no,33,952
2021-05-01,Hyderabad,rainy,14,5,8,120,4.2,so,42,982
2021-04-30,Hyderabad,rainy,23,1,11,51,14.1,so,49,1018
2021-04-29,Hyderabad,partially cloudy,29,0,25,0,12.7,no,29,1101
2021-04-28,Hyderabad,sunny,10,1,4,0,10.6,e,24,1106
2021-04-27,Hyderabad,partially cloudy,29,20,24,0,2.9,so,39,1047
2021-04-26,Hyderabad,partially cloudy,17,1,6,0,4.9,e,24,1134
2021-04-25,Hyderabad,partially cloudy,16,2,9,0,6.1,n,67,965
2021-04-24,Hyderabad,sunny,12,4,7,0,11.6,s,12,956
2021-04-23,Hyderabad,sunny,24,4,8,0,7.1,n,38,1065
2021-04-22,Hyderabad,sunny,27,14,18,0,7.9,s,15,1013
2021-04-21,Hyderabad,foggy,22,14,17,0,13.3,e,26,1018
2021-04-20,Hyderabad,sunny,21,4,18,0,6.1,o,58,1116
2021-04-19,Hyderabad,sunny,14,4,11,0,8.2,e,46,1149
2021-04-18,Hyderabad,sunny,27,9,12,0,5.9,n,53,1122
2021-04-17,Hyderabad,sunny,26,0,11,0,8.8,se,54,981
2021-04-16,Hyderabad,sunny,28,3,16,0,7.8,ne,28,1016
2021-04-15,Hyderabad,partially cloudy,24,3,18,0,1.7,e,14,1146
2021-04-14,Hyderabad,sunny,18,8,11,0,9.8,s,36,1082
2021-04-13,Hyderabad,foggy,23,10,15,0,8.8,o,54,1117
2021-04-12,Hyderabad,sunny,29,5,19,0,7.8,s,62,1028
2021-04-11,Hyderabad,partially cloudy,26,18,21,0,4.4,o,31,1012
2021-04-10,Hyderabad,rainy,16,7,10,80,14.3,s,47,950
2021-04-09,Hyderabad,foggy,19,4,8,0,8.6,se,49,1020
2021-04-08,Hyderabad,sunny,24,7,16,0,0.8,e,42,1177
2021-04-07,Hyderabad,partially cloudy,20,3,11,0,7.0,so,68,1045
2021-04-06,Hyderabad,partially cloudy,11,2,7,0,8.9,n,49,1009
2021-04-05,Hyderabad,rainy,20,11,17,40,14.0,se,30,1005
2021-04-04,Hyderabad,sunny,11,2,6,0,12.0,s,54,1001
2021-04-03,Hyderabad,sunny,24,14,17,0,3.4,n,61,1098
2021-04-02,Hyderabad,sunny,27,11,14,0,4.4,o,21,1027
2021-04-01,Hyderabad,tornado,30,8,19,0,11.9,n,22,1046
2021-03-31,Hyderabad,rainy,10,2,5,172,7.8,e,37,1162
2021-03-30,Hyderabad,rainy,12,2,8,146,0.9,s,46,1111
2021-03-29,Hyderabad,sunny,11,3,7,0,7.1,n,61,1107
2021-03-28,Hyderabad,sunny,28,6,13,0,14.6,n,44,1106
2021-03-27,Hyderabad,partially cloudy,29,14,20,0,1.7,s,64,1017
2021-03-26,Hyderabad,tornado,14,0,7,0,4.4,e,34,1189
2021-03-25,Hyderabad,partially cloudy,13,1,8,0,8.4,e,65,1053
2021-03-24,Hyderabad,sunny,15,6,11,0,5.9,no,38,1033
2021-03-23,Hyderabad,partially cloudy,19,3,6,0,13.1,no,47,1057
2021-03-22,Hyderabad,rainy,18,2,11,18,7.7,s,49,1173
2021-03-21,Hyderabad,cloudy,30,1,7,0,12.1,se,62,1028
2021-03-20,Hyderabad,partially cloudy,25,9,18,0,12.0,se,41,1182
2021-03-19,Hyderabad,rainy,20,1,16,118,9.2,n,18,1196
2021-03-18,Hyderabad,partially cloudy,28,4,13,0,3.8,s,23,1027
2021-03-17,Hyderabad,sunny,15,4,9,0,12.9,ne,68,1037
2021-03-16,Hyderabad,partially cloudy,10,1,7,0,6.4,n,14,1017
2021-03-15,Hyderabad,rainy,13,3,8,200,9.8,o,35,1108
2021-03-14,Hyderabad,hurricane,25,1,5,64,12.8,so,31,976
2021-03-13,Hyderabad,sunny,28,7,20,0,3.6,e,46,1150
2021-03-12,Hyderabad,rainy,23,9,18,128,1.9,se,19,978
2021-03-11,Hyderabad,rainy,25,3,15,84,12.6,o,31,962
2021-03-10,Hyderabad,hurricane,17,3,10,148,8.5,no,14,1130
2021-03-09,Hyderabad,partially cloudy,13,5,8,0,3.5,so,48,954
2021-03-08,Hyderabad,sunny,21,6,12,0,7.5,o,54,1163
2021-03-07,Hyderabad,partially cloudy,12,0,7,0,2.1,no,61,970
2021-03-06,Hyderabad,partially cloudy,13,0,6,0,13.4,s,69,1179
2021-03-05,Hyderabad,sunny,22,2,12,0,7.3,n,21,970
2021-03-04,Hyderabad,stormy,16,7,12,103,5.9,no,24,1162
2021-03-03,Hyderabad,sunny,17,7,12,0,6.0,se,42,957
2021-03-02,Hyderabad,sunny,26,16,22,0,1.6,n,62,1129
2021-03-01,Hyderabad,partially cloudy,15,2,5,0,9.4,n,65,962
2021-02-28,Hyderabad,sunny,19,1,7,0,1.7,e,45,992
2021-02-27,Hyderabad,stormy,26,11,18,154,7.9,n,59,1149
2021-02-26,Hyderabad,rainy,19,9,12,131,11.0,se,13,1171
2021-02-25,Hyderabad,sunny,25,5,12,0,9.3,se,28,1155
2021-02-24,Hyderabad,hurricane,24,14,20,57,12.3,e,63,1011
2021-02-23,Hyderabad,rainy,23,8,19,10,5.2,n,62,1042
2021-02-22,Hyderabad,rainy,22,9,13,161,13.9,o,24,1144
2021-02-21,Hyderabad,cloudy,30,19,27,0,13.3,o,70,1005
2021-02-20,Hyderabad,rainy,16,4,7,148,6.4,n,57,1083
2021-02-19,Hyderabad,rainy,14,4,8,7,10.5,o,40,1110
2021-02-18,Hyderabad,hurricane,21,10,16,34,5.1,so,42,1102
2021-02-17,Hyderabad,cloudy,23,5,8,0,9.4,e,33,1019
2021-02-16,Hyderabad,partially cloudy,29,5,16,0,11.9,s,43,1047
2021-02-15,Hyderabad,cloudy,29,19,26,0,11.9,ne,36,1119
2021-02-14,Hyderabad,rainy,19,5,8,121,5.6,e,28,1145
2021-02-13,Hyderabad,rainy,25,7,21,11,4.8,se,41,1200
2021-02-12,Hyderabad,sunny,22,12,17,0,4.9,so,25,1133
2021-02-11,Hyderabad,partially cloudy,12,1,8,0,4.9,o,29,1005
2021-02-10,Hyderabad,sunny,30,9,13,0,14.9,s,34,1111
2021-02-09,Hyderabad,sunny,16,3,8,0,13.9,s,25,1061
2021-02-08,Hyderabad,sunny,13,1,8,0,10.5,s,45,1191
2021-02-07,Hyderabad,sunny,27,18,23,0,7.6,n,70,1004
2021-02-06,Hyderabad,rainy,25,16,22,141,14.5,n,69,956
2021-02-05,Hyderabad,sunny,25,4,19,0,2.6,e,36,999
2021-02-04,Hyderabad,rainy,13,3,9,29,1.8,s,47,966
2021-02-03,Hyderabad,foggy,12,3,6,0,3.2,se,27,1170
2021-02-02,Hyderabad,partially cloudy,13,5,9,0,2.5,se,39,1144
2021-02-01,Hyderabad,sunny,15,1,10,0,8.4,se,24,1170
2021-01-31,Hyderabad,sunny,28,15,23,0,7.9,s,62,996
2021-01-30,Hyderabad,sunny,22,3,16,0,3.4,ne,50,1089
2021-01-29,Hyderabad,partially cloudy,11,3,6,0,10.3,no,54,1129
2021-01-28,Hyderabad,sunny,20,10,16,0,10.2,e,23,978
2021-01-27,Hyderabad,foggy,27,8,11,0,2.3,so,56,1008
2022-01-26,Warangal,cloudy,14,1,10,0,5.6,o,48,1099
2022-01-25,Warangal,rainy,15,1,6,16,2.1,ne,22,1094
2022-01-24,Warangal,sunny,22,10,13,0,6.1,s,56,1198
2022-01-23,Warangal,partially cloudy,10,2,5,0,12.5,so,65,1069
